Building_Name,Carpet_Area,BHK,Floor_Number,Location,Furnished,Type,Bathrooms,Parking,Lift,Railway_Station-KM,Price,Available_for_Rent,Rented_Price
Skyline Apartments 18,2050,3.0,1,Dadar West,Unfurnished,3BHK,1,Yes,No,3,4703185,Yes,32014
Sai Chawl,2703,4.0,1,Goregaon East,Unfurnished,4BHK,4,No,No,3,2389366,No,0
Sai Chawl,803,2.0,4,Ghatkopar West,Furnished,2BHK,2,No,Yes,2,2621768,Yes,38072
Sai Chawl,1544,2.0,17,Mulund East,Unfurnished,2BHK,2,,Yes,3,2508840,No,0
Golden Heights 22,2355,3.0,1,,,3BHK,1,Yes,No,1,0,No,0
Emerald Apartments 23,2628,2.0,1,Kharghar,Furnished,2BHK,1,No,,4,4257405,Yes,14040
Sai Homes 24,917,4.0,11,Andheri East,Semi-Furnished,4BHK,4,Yes,Yes,2,3508848,No,0
,1431,2.0,0,Ghansoli,Semi-Furnished,2BHK,2,No,Yes,4,4405934,Yes,20814
Harmony Residency 26,973,5.0,2,Ghansoli,Semi-Furnished,5BHK,1,No,Yes,4,3628189,No,0
Golden Apartments 27,0,5.0,5,Vashi,Furnished,5BHK,2,No,Yes,1,3207151,Yes,25994
Sai Chawl,1300,5.0,10,Malad West,Furnished,5BHK,3,No,,1,3486107,,0
Sai Heights 29,2329,1.0,0,,Semi-Furnished,1BHK,1,No,No,3,4140272,No,0
Harmony Palace 30,1770,2.0,1,Worli,Semi-Furnished,2BHK,2,Yes,No,1,4425105,Yes,12533
Sai Chawl,2428,4.0,1,Airoli,Furnished,4BHK,4,Yes,No,1,4001182,No,0
Sai Chawl,1925,1.0,1,Kandivali East,Semi-Furnished,1BHK,1,Yes,No,2,2910870,Yes,39900
Sai Chawl,1890,2.0,1,Andheri East,Unfurnished,2BHK,2,No,No,2,4920594,No,0
Skyline Plaza 34,541,4.0,3,Panvel,Unfurnished,4BHK,0,No,Yes,2,3007083,No,0
,1694,1.0,1,Seawoods,Semi-Furnished,1BHK,1,Yes,No,1,2462141,Yes,29724
Sai Chawl,3306,1.0,1,Andheri West,Semi-Furnished,1BHK,1,Yes,No,2,0,No,0
Shanti Arcade 37,1162,1.0,8,Dadar East,Furnished,1BHK,0,No,Yes,1,2794913,No,0
Green Grandeur 38,1780,2.0,20,Kurla West,Unfurnished,2BHK,2,Yes,Yes,0,4093270,Yes,23380
Elite Palace 39,1513,,0,Malad East,Semi-Furnished,0BHK,1,,,1,0,Yes,21098
Golden Tower 40,1408,4.0,24,Chembur,Unfurnished,4BHK,1,No,Yes,0,1741343,Yes,30098
Galaxy Park 41,2746,5.0,1,Kurla West,Furnished,5BHK,4,Yes,No,1,1397041,,0
Sai Chawl,1269,2.0,11,Ghansoli,Semi-Furnished,2BHK,2,,Yes,3,4543458,,0
Sai Chawl,1293,5.0,3,Santacruz West,Semi-Furnished,5BHK,2,Yes,Yes,0,4819219,,0
Crystal Heights 44,2712,3.0,0,Nerul,Semi-Furnished,3BHK,3,Yes,No,0,0,No,0
Sai Chawl,1624,1.0,21,Kurla East,Unfurnished,1BHK,1,,Yes,2,2172379,Yes,14001
Sunrise Estate 46,0,5.0,14,,Unfurnished,5BHK,2,No,Yes,1,2502426,Yes,22023
,1616,4.0,19,Kharghar,Semi-Furnished,4BHK,3,,Yes,2,3692571,No,0
Sai Chawl,3340,3.0,1,Borivali West,Unfurnished,3BHK,3,,No,1,1228495,Yes,29742
Sai Estate 49,1602,4.0,20,Lower Parel,Unfurnished,4BHK,3,No,Yes,0,2706963,Yes,37282
Sai Chawl,2777,4.0,1,Airoli,Unfurnished,4BHK,4,Yes,No,3,670703,No,0
Sai Chawl,2781,,1,Kurla West,,0BHK,2,,No,4,0,No,0
Sai Chawl,1926,3.0,1,Lower Parel,Unfurnished,3BHK,3,Yes,No,2,4948263,No,0
Metro Apartments 53,0,4.0,25,Santacruz East,Furnished,4BHK,4,No,Yes,2,2960785,,0
Sapphire Grandeur 54,2460,2.0,1,Kurla East,Semi-Furnished,2BHK,0,No,,2,2608625,No,0
Sai Chawl,2637,5.0,1,Vile Parle East,Unfurnished,5BHK,3,No,No,4,1205974,Yes,32931
Sai Chawl,2484,4.0,1,Dadar East,Semi-Furnished,4BHK,4,Yes,No,4,3046544,Yes,39043
Royal Plaza 57,1083,1.0,13,Andheri East,Furnished,1BHK,1,Yes,Yes,4,2946359,Yes,33985
Golden Villa 58,2231,,1,Santacruz West,,0BHK,1,Yes,No,2,1874020,Yes,35501
Golden Palace 59,2222,1.0,1,Kurla East,Semi-Furnished,1BHK,1,Yes,,1,977607,Yes,19929
Emerald Apartments 60,1299,4.0,3,Ghatkopar West,Unfurnished,4BHK,1,Yes,Yes,2,0,,0
Orchid Palace 61,1730,5.0,1,Malad East,Furnished,5BHK,3,No,,0,608248,Yes,38516
Sunrise Heights 62,3468,2.0,0,Juhu,Semi-Furnished,2BHK,2,,No,3,833114,Yes,14097
Metro Estate 63,1484,3.0,13,Vashi,Furnished,3BHK,3,No,Yes,3,682520,Yes,27435
Urban Plaza 64,1523,4.0,1,Chembur,Unfurnished,4BHK,3,Yes,No,1,1876760,No,0
,0,3.0,1,Santacruz East,Unfurnished,3BHK,1,,No,0,4237834,Yes,11930
Oceanic Apartments 66,934,1.0,11,Malad East,Semi-Furnished,1BHK,1,Yes,,4,3179080,No,0
Silver Arcade 67,3224,5.0,1,Seawoods,Furnished,5BHK,2,No,No,2,4773646,No,0
Sunrise Arcade 68,3208,1.0,1,Andheri East,Furnished,1BHK,1,Yes,No,1,3707023,No,0
Sai Chawl,0,,1,Goregaon East,Furnished,0BHK,1,Yes,No,4,3781237,,0
Sai Chawl,1691,1.0,18,Sion,Semi-Furnished,1BHK,1,No,Yes,4,1536775,No,0
Sunrise Villa 71,2569,2.0,1,Seawoods,Furnished,2BHK,2,Yes,No,3,1446007,Yes,13021
Golden Apartments 72,1938,1.0,22,Vile Parle East,Unfurnished,1BHK,1,No,Yes,3,0,Yes,22667
Crystal Residency 73,3256,5.0,1,Nerul,Furnished,5BHK,1,Yes,,2,4121962,No,0
Sai Chawl,545,4.0,22,Borivali West,Furnished,4BHK,1,No,Yes,2,1670169,Yes,14614
Palm Villa 75,2775,,1,Malad West,Furnished,0BHK,3,Yes,No,3,0,Yes,16300
Orchid Tower 76,1186,,15,Mulund East,Unfurnished,0BHK,1,,,3,3582958,Yes,30098
Elite Arcade 77,1765,3.0,21,Nerul,Unfurnished,3BHK,3,No,Yes,0,3200867,No,0
Emerald Heights 78,904,3.0,13,Santacruz East,Semi-Furnished,3BHK,0,,Yes,4,4095784,No,0
Galaxy Arcade 79,2922,5.0,1,Nerul,Semi-Furnished,5BHK,2,Yes,No,3,1080306,No,0
Sai Chawl,1948,2.0,1,Vashi,,2BHK,2,No,No,2,2157071,No,0
Lakeview Park 81,1311,5.0,11,,Furnished,5BHK,4,Yes,Yes,0,612481,Yes,33822
Skyline View 82,3201,,1,Chembur,Unfurnished,0BHK,1,No,No,4,4536826,No,0
Metro Homes 83,3272,1.0,1,Kandivali East,Furnished,1BHK,1,Yes,No,0,4276376,Yes,24351
Lakeview View 84,1953,3.0,7,Malad West,Furnished,3BHK,1,No,Yes,4,2074038,No,0
Emerald Park 85,1583,5.0,15,Santacruz West,Unfurnished,5BHK,1,Yes,Yes,3,1194161,Yes,38686
Sai Estate 86,2568,5.0,1,Goregaon East,Unfurnished,5BHK,4,Yes,,4,3668399,,0
Sai Chawl,1111,1.0,11,Worli,Unfurnished,1BHK,1,No,Yes,2,2018370,Yes,21259
Sunrise Estate 88,1840,5.0,1,Nerul,Semi-Furnished,5BHK,3,Yes,No,1,1592398,No,0
Galaxy Plaza 89,762,1.0,21,Vile Parle East,Semi-Furnished,1BHK,1,No,Yes,3,0,Yes,19814
Lakeview Enclave 90,1437,3.0,19,Andheri West,,3BHK,0,Yes,Yes,0,742864,No,0
Sai Chawl,1698,3.0,1,Kurla East,Unfurnished,3BHK,3,Yes,,2,2474195,Yes,11735
Green Villa 92,2349,5.0,1,Ghansoli,Furnished,5BHK,5,Yes,,0,1697446,No,0
Sai Chawl,678,5.0,22,Bandra West,Unfurnished,5BHK,4,Yes,,1,4580691,No,0
Skyline Residency 94,1526,1.0,0,Vashi,Furnished,1BHK,0,No,No,4,4137339,Yes,30682
Lakeview Estate 95,1901,,1,Worli,Unfurnished,0BHK,2,No,No,3,2666183,Yes,25039
Metro Residency 96,624,1.0,0,Powai,,1BHK,1,No,Yes,2,545940,Yes,8779
Galaxy Heights 97,2184,5.0,1,Sion,Semi-Furnished,5BHK,4,Yes,No,3,3425470,No,0
Galaxy Residency 98,2154,1.0,1,Mulund West,Semi-Furnished,1BHK,1,,No,1,2750595,No,0
Sai Chawl,3338,,1,Bandra West,Unfurnished,0BHK,1,,No,3,2033680,Yes,26003
Skyline Villa 100,2501,4.0,1,Dadar East,Furnished,4BHK,2,No,No,4,3404824,No,0
,1946,3.0,2,Powai,,3BHK,3,No,Yes,3,955731,No,0
Royal Residency 102,3079,3.0,1,Andheri East,Unfurnished,3BHK,1,Yes,No,2,1053513,No,0
Elite Homes 103,2647,4.0,0,Ghatkopar East,,4BHK,1,No,No,3,1042631,Yes,31441
,1738,,0,Vashi,Furnished,0BHK,3,Yes,Yes,3,1598339,No,0
Harmony Estate 105,925,4.0,3,Kurla East,Semi-Furnished,4BHK,4,Yes,Yes,4,1372644,Yes,37207
Sai Chawl,592,,23,Borivali West,Semi-Furnished,0BHK,3,Yes,Yes,4,4700284,No,0
Crystal Plaza 107,2442,1.0,1,Mulund East,Furnished,1BHK,1,No,No,4,1410541,Yes,33212
Urban Homes 108,1990,2.0,21,,Furnished,2BHK,2,Yes,Yes,2,3196012,Yes,11766
Sunrise View 109,1972,5.0,3,Seawoods,Unfurnished,5BHK,3,No,Yes,2,2347919,No,0
Oceanic Homes 110,1603,3.0,18,Bandra West,Unfurnished,3BHK,2,Yes,Yes,1,2423819,Yes,36036
Lakeview Villa 111,1480,4.0,15,Andheri West,,4BHK,1,Yes,Yes,0,4793408,No,0
Oceanic Homes 112,1992,5.0,0,Malad East,Furnished,5BHK,1,,Yes,0,4857808,Yes,12414
Sai Chawl,0,3.0,19,,Semi-Furnished,3BHK,0,Yes,Yes,1,4148671,,0
Metro Estate 114,1774,4.0,10,Goregaon West,,4BHK,3,Yes,Yes,1,0,No,0
Shanti Residency 115,1965,5.0,1,Vashi,Furnished,5BHK,5,Yes,No,0,3294026,Yes,31963
Elite Tower 116,2981,3.0,1,Malad West,Unfurnished,3BHK,3,Yes,No,0,0,Yes,25555
Royal Arcade 117,1888,5.0,1,Borivali West,Furnished,5BHK,1,Yes,No,3,1344035,Yes,14145
Sai Chawl,2155,5.0,0,Mulund East,Furnished,5BHK,2,No,No,4,544890,Yes,28527
Metro Enclave 119,2726,1.0,1,,Unfurnished,1BHK,1,Yes,No,3,1303188,Yes,23794
Sai Chawl,2050,4.0,1,Chembur,Furnished,4BHK,4,Yes,No,1,4866429,Yes,21391
Sapphire Palace 121,1963,4.0,1,Borivali East,Unfurnished,4BHK,2,No,No,4,976935,Yes,23117
Sai Chawl,3217,,1,Ghatkopar East,Unfurnished,0BHK,1,No,No,4,3176623,,0
,1695,4.0,22,Bandra West,Furnished,4BHK,4,No,Yes,1,2887426,No,0
Lakeview Heights 124,1974,5.0,9,Panvel,Semi-Furnished,5BHK,1,No,Yes,1,3625568,Yes,27750
Golden Enclave 125,1912,1.0,22,Powai,,1BHK,1,No,Yes,4,2890082,No,0
Sai Chawl,0,1.0,7,Dadar West,Furnished,1BHK,1,No,,0,1546397,,0
Urban Enclave 127,1512,2.0,1,Kurla East,Furnished,2BHK,2,,No,0,3678100,Yes,33023
Green View 128,0,4.0,1,Belapur,Semi-Furnished,4BHK,2,No,,4,4666105,No,0
Sai Chawl,2133,5.0,1,Belapur,Semi-Furnished,5BHK,4,No,,0,1724833,No,0
Galaxy Homes 130,1794,1.0,0,Andheri West,Furnished,1BHK,1,Yes,No,2,1117600,,0
Golden Apartments 131,3030,4.0,1,,,4BHK,3,No,No,4,3448952,No,0
Golden Estate 132,2680,1.0,1,Goregaon West,Furnished,1BHK,1,Yes,No,1,4485964,Yes,30198
Palm View 133,1020,,10,Goregaon West,Semi-Furnished,0BHK,5,,Yes,3,2959200,No,0
Oceanic Heights 134,1219,3.0,18,Vashi,Unfurnished,3BHK,1,Yes,,1,4732257,,0
Harmony Heights 135,698,,18,Borivali West,Furnished,0BHK,2,,Yes,1,777840,Yes,25982
Sai Chawl,1963,3.0,1,Malad East,Semi-Furnished,3BHK,2,No,,4,0,Yes,13762
Green Park 137,0,1.0,1,,Unfurnished,1BHK,1,No,No,4,1235907,No,0
Sunrise View 138,703,5.0,7,Malad East,Semi-Furnished,5BHK,0,Yes,Yes,1,4191551,Yes,38403
Green Estate 139,2468,4.0,1,Chembur,Semi-Furnished,4BHK,3,Yes,No,4,3336883,No,0
Sai Estate 140,2005,3.0,1,Belapur,Furnished,3BHK,1,Yes,No,0,1051384,No,0
Sai Chawl,2943,2.0,1,Borivali West,Semi-Furnished,2BHK,1,Yes,No,1,2375081,No,0
Sapphire Enclave 142,935,4.0,25,Ghatkopar West,Unfurnished,4BHK,3,Yes,Yes,3,1108686,Yes,37844
Skyline Arcade 143,2744,4.0,1,Worli,Semi-Furnished,4BHK,1,Yes,No,4,4982405,,0
Sapphire Tower 144,1568,,1,Mulund West,Semi-Furnished,0BHK,2,,No,4,2716037,No,0
Sai Chawl,1357,5.0,1,,Furnished,5BHK,0,No,Yes,2,2569025,Yes,9343
Lakeview Apartments 146,1990,1.0,0,Mulund West,Unfurnished,1BHK,1,No,No,2,3531709,,0
Emerald Estate 147,1775,4.0,0,Vile Parle West,Unfurnished,4BHK,2,Yes,Yes,0,2315107,No,0
Golden Palace 148,666,1.0,12,Ghatkopar East,Unfurnished,1BHK,1,No,Yes,2,2510298,,0
Shanti Park 149,1663,1.0,1,Vashi,Semi-Furnished,1BHK,1,Yes,No,4,3973770,No,0
Metro Grandeur 150,2586,4.0,1,Kandivali East,Unfurnished,4BHK,4,No,,2,3940281,No,0
Green Grandeur 151,0,4.0,1,,Semi-Furnished,4BHK,1,Yes,,1,2560453,No,0
Sai Chawl,3081,5.0,1,Nerul,Furnished,5BHK,1,No,No,0,4591145,No,0
Royal Heights 153,885,1.0,14,Nerul,Furnished,1BHK,1,No,Yes,2,3690649,No,0
Elite Heights 154,526,2.0,11,Bandra East,Semi-Furnished,2BHK,1,No,Yes,0,4888942,No,0
Royal Plaza 155,3433,1.0,1,Powai,Unfurnished,1BHK,1,No,No,1,0,No,0
Sai Chawl,1829,3.0,2,Borivali West,Semi-Furnished,3BHK,3,Yes,Yes,4,1891633,No,0
Sai Chawl,3327,5.0,1,Mulund East,Unfurnished,5BHK,2,No,No,3,0,Yes,17255
Sapphire Grandeur 158,481,3.0,24,Malad West,Unfurnished,3BHK,3,No,Yes,3,1111389,No,0
Sai Chawl,2348,3.0,1,Powai,Semi-Furnished,3BHK,3,No,No,2,3462927,Yes,35227
Sai Chawl,0,4.0,23,Kandivali East,Semi-Furnished,4BHK,2,No,Yes,0,0,Yes,17085
Orchid Plaza 161,1900,,0,Andheri East,,0BHK,0,No,Yes,2,1952172,No,0
Golden Arcade 162,1795,2.0,1,Mulund East,Unfurnished,2BHK,2,Yes,,1,4315381,No,0
Golden Palace 163,821,2.0,8,Andheri East,Unfurnished,2BHK,2,No,Yes,3,0,,0
Sai Chawl,2803,,1,Mulund East,Unfurnished,0BHK,2,No,,0,961652,No,0
Galaxy Heights 165,3434,4.0,1,Kandivali West,Furnished,4BHK,4,No,,3,1137369,No,0
,1759,1.0,1,Panvel,Furnished,1BHK,1,Yes,No,1,3440594,Yes,18593
Sai Chawl,0,,14,Borivali West,Unfurnished,0BHK,2,Yes,Yes,4,2123957,Yes,19722
,0,,1,Malad West,Semi-Furnished,0BHK,1,No,,1,678598,No,0
,0,,0,Mulund West,Unfurnished,0BHK,2,No,Yes,3,4613675,Yes,8007
,0,,11,Bandra East,,0BHK,2,Yes,Yes,2,0,No,0
,0,,7,Vashi,Semi-Furnished,0BHK,3,Yes,Yes,0,3757389,No,0
Sai Chawl,0,,24,Mulund West,Unfurnished,0BHK,0,Yes,Yes,3,2616091,Yes,26039
Green Arcade 173,1232,1.0,6,Bandra West,Semi-Furnished,1BHK,1,No,Yes,3,0,Yes,26795
Sai View 174,1738,4.0,19,Bandra West,Semi-Furnished,4BHK,3,Yes,Yes,4,0,Yes,22881
Sai Chawl,1893,3.0,1,Vile Parle East,Furnished,3BHK,3,Yes,No,0,748377,Yes,18878
Sai Chawl,2000,4.0,14,Santacruz East,Semi-Furnished,4BHK,1,Yes,Yes,1,1390326,,0
Metro Estate 177,2063,,0,Bandra East,Unfurnished,0BHK,4,No,No,1,4101775,Yes,22612
Sai Chawl,427,2.0,9,Vile Parle West,Furnished,2BHK,0,Yes,Yes,4,4071354,Yes,38407
Silver Park 179,1517,4.0,23,Dadar West,Unfurnished,4BHK,4,No,Yes,1,1582485,No,0
Silver Homes 180,1272,5.0,20,Santacruz West,Semi-Furnished,5BHK,0,Yes,,2,4309298,No,0
Palm Grandeur 181,1868,4.0,1,Santacruz West,Semi-Furnished,4BHK,1,Yes,,4,939444,Yes,38553
Orchid Plaza 182,455,1.0,13,Panvel,Semi-Furnished,1BHK,1,Yes,Yes,2,2571854,Yes,14529
Sai Chawl,645,3.0,19,Santacruz West,Unfurnished,3BHK,3,Yes,Yes,4,0,No,0
Sai Apartments 184,2611,3.0,1,Kandivali East,Furnished,3BHK,3,No,No,3,4618706,Yes,16008
Green Homes 185,2427,3.0,1,Andheri East,Furnished,3BHK,2,Yes,No,2,0,No,0
Golden Park 186,606,5.0,12,Vile Parle West,Unfurnished,5BHK,2,Yes,Yes,4,0,Yes,17009
Palm Apartments 187,1537,,2,Bandra East,,0BHK,3,Yes,Yes,2,3015433,Yes,28591
,2009,1.0,1,Dadar East,Unfurnished,1BHK,1,Yes,No,3,2641723,,0
Crystal Apartments 189,1618,3.0,21,Vile Parle West,Semi-Furnished,3BHK,2,Yes,Yes,2,547452,Yes,14398
Golden Enclave 190,3203,2.0,1,Airoli,Semi-Furnished,2BHK,0,Yes,No,2,3827504,No,0
Skyline Villa 191,923,3.0,7,Goregaon West,Furnished,3BHK,3,No,Yes,4,736234,,0
,789,,1,Bandra West,Furnished,0BHK,4,Yes,Yes,1,4359335,,0
Sapphire View 193,1424,2.0,5,Ghatkopar East,Furnished,2BHK,2,Yes,Yes,1,1794645,No,0
Golden Park 194,1667,5.0,18,,,5BHK,3,Yes,Yes,0,3413016,Yes,14462
Emerald View 195,541,5.0,17,Kurla East,Semi-Furnished,5BHK,3,Yes,Yes,3,4934272,No,0
Sai Chawl,492,5.0,16,Goregaon West,Furnished,5BHK,4,No,,4,2312442,No,0
Shanti Villa 197,3496,3.0,1,Mulund West,Unfurnished,3BHK,3,No,No,0,3339424,Yes,18227
Sai Chawl,516,2.0,2,Airoli,,2BHK,2,No,Yes,4,1092428,Yes,26511
Green Apartments 199,3370,5.0,1,Santacruz West,Furnished,5BHK,1,No,No,1,4358092,No,0
Sunrise Palace 200,3433,4.0,1,Chembur,Semi-Furnished,4BHK,1,Yes,No,1,2081683,Yes,16161
Sai Chawl,922,1.0,6,Powai,Semi-Furnished,1BHK,1,No,Yes,3,2651864,,0
Shanti Arcade 202,3271,2.0,1,Ghansoli,Semi-Furnished,2BHK,2,No,No,3,4470872,Yes,9674
Skyline Tower 203,1089,2.0,24,Lower Parel,Unfurnished,2BHK,0,No,Yes,3,4542446,No,0
Galaxy Enclave 204,2625,5.0,1,Kandivali West,Semi-Furnished,5BHK,3,Yes,No,2,2773413,No,0
Elite Enclave 205,1668,5.0,0,Goregaon West,Semi-Furnished,5BHK,3,Yes,No,2,2083179,Yes,24746
,445,4.0,0,Panvel,Furnished,4BHK,2,No,Yes,3,1448247,No,0
Sai Chawl,1434,5.0,14,,Unfurnished,5BHK,2,No,,2,3168484,No,0
Royal Arcade 208,1756,3.0,4,Bandra East,Semi-Furnished,3BHK,2,No,Yes,3,3887648,No,0
Urban Grandeur 209,3248,3.0,1,Juhu,Semi-Furnished,3BHK,3,No,No,0,1189797,Yes,26893
Emerald Residency 210,415,4.0,25,Malad East,Semi-Furnished,4BHK,3,Yes,Yes,3,2386469,No,0
Sai Chawl,3089,4.0,1,Belapur,Unfurnished,4BHK,4,Yes,No,0,4499010,No,0
Metro Arcade 212,1282,1.0,15,Andheri East,Semi-Furnished,1BHK,1,Yes,Yes,3,0,Yes,24579
Urban Residency 213,1865,4.0,1,,Unfurnished,4BHK,4,Yes,No,0,0,Yes,36349
Lakeview Plaza 214,3453,1.0,1,Kharghar,Semi-Furnished,1BHK,0,No,,0,1788774,No,0
,784,3.0,22,Kandivali West,Unfurnished,3BHK,1,No,Yes,0,0,Yes,21303
Galaxy Residency 216,2190,2.0,1,Goregaon West,Semi-Furnished,2BHK,1,No,No,0,2091909,No,0
Crystal Homes 217,1772,3.0,1,,Semi-Furnished,3BHK,3,Yes,No,3,4407909,,0
Palm Homes 218,1202,4.0,12,Goregaon West,,4BHK,2,No,Yes,1,1487782,,0
Sunrise Palace 219,1552,4.0,23,Dadar West,Unfurnished,4BHK,4,Yes,Yes,1,2901667,No,0
Sai Chawl,726,3.0,16,Goregaon West,Semi-Furnished,3BHK,2,Yes,Yes,0,0,No,0
Sai Chawl,1538,2.0,7,Borivali West,Unfurnished,2BHK,2,Yes,Yes,1,3164007,No,0
Sunrise Estate 222,1017,5.0,7,,Furnished,5BHK,1,Yes,Yes,4,3525726,Yes,36451
Royal Tower 223,652,4.0,20,Malad West,,4BHK,1,Yes,,1,3084259,Yes,23257
,455,4.0,3,Mulund West,Semi-Furnished,4BHK,0,Yes,Yes,1,4217129,No,0
Sai Chawl,1812,,0,Sion,Unfurnished,0BHK,3,No,Yes,4,1899900,Yes,31336
Sai Chawl,1331,3.0,24,Santacruz East,,3BHK,3,No,Yes,2,2570221,No,0
Crystal Tower 227,1630,1.0,1,,Furnished,1BHK,1,No,No,1,4983111,No,0
Sunrise Tower 228,2079,2.0,1,Andheri East,Furnished,2BHK,2,No,No,0,2026546,Yes,30068
Oceanic Plaza 229,3268,5.0,0,Vile Parle West,Furnished,5BHK,2,No,,2,2320702,Yes,18312
Metro Park 230,1257,5.0,7,Borivali West,Furnished,5BHK,3,Yes,Yes,4,0,No,0
Sai Chawl,1904,1.0,1,Borivali West,Furnished,1BHK,1,No,No,2,2631621,No,0
Elite Grandeur 232,1834,4.0,1,Mulund East,Semi-Furnished,4BHK,4,Yes,No,4,4023526,No,0
Palm Tower 233,3152,,0,Vile Parle East,Unfurnished,0BHK,1,Yes,No,0,0,Yes,24027
Sai Chawl,545,5.0,12,Kharghar,Furnished,5BHK,2,No,Yes,3,4794863,,0
Sapphire View 235,1842,4.0,1,Chembur,Furnished,4BHK,1,Yes,No,0,1740649,No,0
Palm Estate 236,0,,4,,Unfurnished,0BHK,1,,Yes,2,1193688,No,0
Sai Chawl,1129,1.0,20,Vile Parle West,Unfurnished,1BHK,1,Yes,Yes,0,3703634,Yes,16131
Harmony Grandeur 238,1775,5.0,8,Chembur,Furnished,5BHK,1,No,Yes,0,3301942,No,0
Galaxy Residency 239,0,5.0,12,Malad West,Furnished,5BHK,3,No,Yes,4,514382,,0
Metro Park 240,1775,5.0,21,Kharghar,Semi-Furnished,5BHK,5,No,Yes,0,2426469,Yes,31479
Elite Villa 241,2830,4.0,0,Kurla East,Semi-Furnished,4BHK,1,Yes,No,4,4892788,Yes,34808
Royal View 242,1862,,20,Powai,Semi-Furnished,0BHK,3,Yes,Yes,3,4117038,,0
Emerald Arcade 243,1189,1.0,13,Santacruz East,Furnished,1BHK,0,Yes,Yes,3,4339777,Yes,35581
Sai Chawl,903,5.0,7,Vile Parle East,Unfurnished,5BHK,4,,Yes,3,990514,No,0
Sai Chawl,1276,3.0,13,Panvel,Unfurnished,3BHK,3,Yes,Yes,2,2342144,No,0
Sai Chawl,1550,4.0,1,Andheri West,Semi-Furnished,4BHK,2,Yes,No,3,1992278,No,0
Skyline Homes 247,2423,,1,Airoli,Furnished,0BHK,2,Yes,,4,2999677,No,0
Palm Villa 248,2266,3.0,1,Kurla West,Furnished,3BHK,2,Yes,No,2,3235848,Yes,34174
Sai Chawl,2643,2.0,0,Kharghar,Furnished,2BHK,2,,No,3,3893215,Yes,25909
Harmony View 250,0,,21,Mulund West,Unfurnished,0BHK,2,Yes,Yes,4,3296161,No,0
Silver Tower 251,2569,1.0,1,Kharghar,Unfurnished,1BHK,1,No,No,0,0,Yes,9106
Sunrise View 252,1243,,25,,Unfurnished,0BHK,1,,,0,4764528,No,0
Sai Chawl,1895,,22,Andheri East,,0BHK,4,Yes,Yes,2,1754956,No,0
Sai Chawl,784,,15,Borivali East,Unfurnished,0BHK,1,No,Yes,0,2976983,Yes,21174
Sai Chawl,768,3.0,24,Ghatkopar East,,3BHK,1,Yes,Yes,1,763284,No,0
Sai Chawl,3322,4.0,1,,Semi-Furnished,4BHK,1,No,No,2,1545417,Yes,11222
Oceanic Heights 257,859,1.0,11,,Unfurnished,1BHK,1,Yes,Yes,2,1855980,No,0
Sai Chawl,1647,5.0,1,Worli,Semi-Furnished,5BHK,2,No,Yes,3,528572,No,0
Sai Park 259,516,2.0,0,Juhu,Semi-Furnished,2BHK,1,No,Yes,0,732612,Yes,18810
Metro Palace 260,2251,3.0,1,Vile Parle East,,3BHK,3,No,No,2,1209045,No,0
Sunrise Palace 261,2602,1.0,1,Kurla East,Semi-Furnished,1BHK,1,Yes,No,3,4082443,No,0
Sunrise Grandeur 262,2534,3.0,1,,Semi-Furnished,3BHK,1,No,No,2,0,No,0
